location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
808,"Indura","pm10",98,"µg/m³","2025-07-04T12:00:00Z","2025-07-04T08:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",97,"µg/m³","2025-07-04T13:00:00Z","2025-07-04T09:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",95,"µg/m³","2025-07-04T14:00:00Z","2025-07-04T10:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",94,"µg/m³","2025-07-04T15:00:00Z","2025-07-04T11:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",93,"µg/m³","2025-07-04T16:00:00Z","2025-07-04T12:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",92,"µg/m³","2025-07-04T17:00:00Z","2025-07-04T13:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",93,"µg/m³","2025-07-04T18:00:00Z","2025-07-04T14:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",96,"µg/m³","2025-07-04T19:00:00Z","2025-07-04T15:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",99,"µg/m³","2025-07-04T20:00:00Z","2025-07-04T16:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",102,"µg/m³","2025-07-04T21:00:00Z","2025-07-04T17:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",104,"µg/m³","2025-07-04T22:00:00Z","2025-07-04T18:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",108,"µg/m³","2025-07-04T23:00:00Z","2025-07-04T19:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",110,"µg/m³","2025-07-05T00:00:00Z","2025-07-04T20:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",102,"µg/m³","2025-07-05T01:00:00Z","2025-07-04T21:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",94,"µg/m³","2025-07-05T02:00:00Z","2025-07-04T22:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",90,"µg/m³","2025-07-05T03:00:00Z","2025-07-04T23:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",86,"µg/m³","2025-07-05T04:00:00Z","2025-07-05T00:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",83,"µg/m³","2025-07-05T05:00:00Z","2025-07-05T01:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",82,"µg/m³","2025-07-05T06:00:00Z","2025-07-05T02:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",81,"µg/m³","2025-07-05T07:00:00Z","2025-07-05T03:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",80,"µg/m³","2025-07-05T08:00:00Z","2025-07-05T04:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",79,"µg/m³","2025-07-05T09:00:00Z","2025-07-05T05:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",80,"µg/m³","2025-07-05T10:00:00Z","2025-07-05T06:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",78,"µg/m³","2025-07-05T11:00:00Z","2025-07-05T07:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",77,"µg/m³","2025-07-05T12:00:00Z","2025-07-05T08:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",76,"µg/m³","2025-07-05T13:00:00Z","2025-07-05T09:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",76,"µg/m³","2025-07-05T14:00:00Z","2025-07-05T10:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",75,"µg/m³","2025-07-05T15:00:00Z","2025-07-05T11:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",74,"µg/m³","2025-07-05T16:00:00Z","2025-07-05T12:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",73,"µg/m³","2025-07-05T17:00:00Z","2025-07-05T13:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",72,"µg/m³","2025-07-05T18:00:00Z","2025-07-05T14:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",69,"µg/m³","2025-07-05T19:00:00Z","2025-07-05T15:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
